Date,Group,TopicType,Url,Title,RawGithubUrl,ADA Status,Eligible for Exec Doc Conversion?,Reason for Ineligiblity,PageViews,PVMoM,Visitors,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Link_Drilldown_Docs,Link_Trends,Freshness,LastPublished,LastReviewed,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,TopicKey,CSAs
25-Feb,Concepts,article,https://learn.microsoft.com/en-us/azure/confidential-computing/confidential-containers-on-aks-preview,Confidential Containers (preview) on Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-docs/refs/heads/main/articles/confidential-computing/confidential-containers-on-aks-preview.md,,no,no supported Bash or Azure CLI commands present,101,-57.00%,49,H,0,9.90%,52.50%,83.70%,24.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=7441c958-850d-7c23-49f7-409bcf23a307,https://aka.ms/learncontenttrends?p_SelectedPlatformId=7441c958-850d-7c23-49f7-409bcf23a307,> 365 days,########,11/7/2023,12,11.90%,10.90%,74.30%,3.00%,0.00%,10%,0%,84%,########,ananyagarg,No,,7441c958-850d-7c23-49f7-409bcf23a307,02fe5cb7-8c87-367c-8462-5f30701a4227,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,article,https://learn.microsoft.com/en-us/azure/aks/azure-app-configuration-quickstart,Quickstart Generate ConfigMap from Azure App Configuration - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/azure-app-configuration-quickstart.md,,no,"contains GUI-based instructions and screenshots, not runnable bash commands",146,,91,H,0,9.60%,39.70%,84.60%,19.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=0fa76eea-24d0-4c64-484b-2a3b7fd7fc1c,https://aka.ms/learncontenttrends?p_SelectedPlatformId=0fa76eea-24d0-4c64-484b-2a3b7fd7fc1c,91-180 days,2/13/2025,########,29,19.90%,12.30%,63.70%,1.40%,2.70%,0%,0%,85%,2/10/2025,junbchen,No,,0fa76eea-24d0-4c64-484b-2a3b7fd7fc1c,d478fd79-8920-321a-bfc7-ad8cecfbaee1,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/best-practices,Best practices for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/best-practices.md,,no,No bash or shell executable commands are present; content is conceptual and link-based.,"1,406",-27.90%,940,H,1,15.40%,32.90%,76.60%,22.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=a082f52d-5b6f-179d-49dc-19440721e404,https://aka.ms/learncontenttrends?p_SelectedPlatformId=a082f52d-5b6f-179d-49dc-19440721e404,> 365 days,########,########,755,53.70%,20.10%,21.50%,4.50%,0.20%,1%,0%,76%,8/1/2024,magoedte,No,,a082f52d-5b6f-179d-49dc-19440721e404,7d7161b6-8ad0-371d-aea6-824d1af3708d,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-identity,Best practices for managing authentication and authorization - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/operator-best-practices-identity.md,,no,"contains only conceptual guidance and YAML manifests, no bash or Azure CLI commands",694,-32.40%,489,H,0,13.80%,33.40%,81.60%,27.50%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=0a846c2a-8d39-d700-06a8-2e4bfb6a6efe,https://aka.ms/learncontenttrends?p_SelectedPlatformId=0a846c2a-8d39-d700-06a8-2e4bfb6a6efe,> 365 days,########,2/16/2024,285,41.10%,12.70%,43.20%,3.00%,0.00%,5%,0%,81%,8/1/2024,magoedte,No,,0a846c2a-8d39-d700-06a8-2e4bfb6a6efe,e6b21b60-f493-306a-a2f9-12f24ee21e9a,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-network,Best practices for network resources in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/operator-best-practices-network.md,,no,"contains YAML manifests and conceptual/architectural guidance, but does not contain executable Bash commands or step-by-step terminal instructions",965,-24.70%,671,H,1,14.90%,20.30%,84.90%,27.50%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=56b26ebb-9c40-46c6-9682-461231ad610a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=56b26ebb-9c40-46c6-9682-461231ad610a,271-365 days,########,3/18/2024,244,25.30%,16.80%,54.60%,3.30%,0.00%,3%,0%,85%,8/1/2024,schaffererin,No,,56b26ebb-9c40-46c6-9682-461231ad610a,3430cf8a-ca84-3dd3-8baf-5440e7e8fac9,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-advanced-scheduler,Best practices for scheduler features - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/operator-best-practices-advanced-scheduler.md,,yes,,626,-10.80%,437,H,1,14.20%,18.80%,85.10%,44.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=08971d00-112b-7340-8b68-f8afdf5ad96e,https://aka.ms/learncontenttrends?p_SelectedPlatformId=08971d00-112b-7340-8b68-f8afdf5ad96e,> 365 days,########,########,318,50.80%,9.70%,37.50%,1.90%,0.00%,9%,0%,85%,8/1/2024,magoedte,No,,08971d00-112b-7340-8b68-f8afdf5ad96e,f7fca068-f742-35db-9859-cb56e09e1e77,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-storage,Best practices for storage and backup - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/operator-best-practices-storage.md,,no,no bash/az commands or supported executable code blocks present,537,-15.70%,383,H,0,12.30%,26.60%,84.30%,32.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=3c55e150-04ac-8ffc-7e80-321d23e4af61,https://aka.ms/learncontenttrends?p_SelectedPlatformId=3c55e150-04ac-8ffc-7e80-321d23e4af61,> 365 days,########,4/28/2023,150,27.90%,9.90%,60.50%,1.70%,0.00%,3%,0%,84%,8/1/2024,schaffererin,No,,3c55e150-04ac-8ffc-7e80-321d23e4af61,12d0979a-4780-35be-ad46-f020415e5d1a,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/windows-best-practices,Best practices for Windows containers on Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/windows-best-practices.md,,no,No bash or Azure CLI commands present; content is descriptive/best-practice guidance only.,154,-51.40%,122,H,0,13.00%,27.30%,83.60%,29.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=287bd0ce-5f40-97d7-d9d9-6e5dcfae9579,https://aka.ms/learncontenttrends?p_SelectedPlatformId=287bd0ce-5f40-97d7-d9d9-6e5dcfae9579,> 365 days,2/21/2025,########,108,70.10%,14.90%,11.00%,3.90%,0.00%,1%,0%,84%,8/1/2024,schaffererin,No,,287bd0ce-5f40-97d7-d9d9-6e5dcfae9579,316bee1e-423e-33c0-818d-3beb8e6141af,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-cluster-isolation,Cluster isolation best practices for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/operator-best-practices-cluster-isolation.md,,no,no eligible bash/Azure CLI commands present,723,-27.80%,533,H,1,8.60%,23.80%,86.10%,23.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=93beb1fa-0d66-02c4-aa87-f95de9ed531b,https://aka.ms/learncontenttrends?p_SelectedPlatformId=93beb1fa-0d66-02c4-aa87-f95de9ed531b,> 365 days,########,5/25/2023,324,44.80%,17.00%,36.00%,2.10%,0.10%,3%,0%,86%,8/1/2024,schaffererin,No,,93beb1fa-0d66-02c4-aa87-f95de9ed531b,9bc42a9c-1296-3441-aac9-e7321e5e1f16,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/best-practices-app-cluster-reliability,Deployment and cluster reliability best practices for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/best-practices-app-cluster-reliability.md,,yes,,561,-26.10%,369,H,0,11.40%,35.80%,83.20%,37.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9a426c71-0aa6-c874-68f2-40bc512328d4,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9a426c71-0aa6-c874-68f2-40bc512328d4,271-365 days,########,4/22/2024,175,31.20%,24.60%,39.80%,2.10%,2.30%,5%,0%,83%,8/1/2024,schaffererin,No,,9a426c71-0aa6-c874-68f2-40bc512328d4,430271b0-ad3c-3865-98f1-359b307ccdcf,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
